CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
80.599998,8.77525,27.48,55.173332,76.5,183.429993,122.336998,23.92,79.212502,70.337502,190.619995,117.830002
82.220001,9.02625,27.665001,54.458668,79.309998,183.509995,121.844002,24.27,79.722504,70.662003,190.860001,118.019997
79.349998,8.71775,28.202,54.591331,77.056664,181.570007,121.093002,24.93,79.182503,71.068497,193.220001,120.949997
77.989998,8.52525,28.759001,54.681999,77.263336,181.809998,120.519501,26.07,79.527496,71.014,192.820007,121.529999
79.5,8.487,28.313999,53.720669,76.463333,181.399994,120.055,25.25,79.5625,70.912003,194.259995,116.75
87.809998,8.8755,29.127001,55.666668,78.423332,183.25,122.1185,24.969999,79.485001,71.676003,195.240005,117.300003
94.839996,8.80625,28.999001,59.873333,79.436668,182.830002,123.552002,25.549999,80.462502,71.7435,194.350006,118.769997
92.25,8.82525,29.806,58.770668,79.953331,184.910004,123.620499,26,80.834999,72.115501,196.360001,118.75
98.099998,8.7695,30.952999,58.863998,77.803329,185.360001,123.919998,26.33,81.279999,71.962502,196.869995,122.18
95.980003,8.7665,30.889,57.625332,75.563332,182.919998,123.029999,26.280001,80.580002,70.714996,193.639999,123.690002
93.93,8.92,31.708,59.043999,77.129997,187.199997,124.150002,26.299999,82.875,72.000999,199.610001,124.82
95.43,8.805,31.752001,63.327999,79.263336,188.360001,126.203003,26.68,83.364998,72.402,199.600006,127.279999
93.900002,9.046,31.532,62.711334,77.853333,189.800003,130.042999,26.57,85.997498,72.603996,199.080002,123.889999
97.220001,9.36675,31.504,68.33667,77.559998,196.839996,132.372498,26.25,88.209999,73.235001,200.479996,122.18
95.040001,8.79625,29.375,64.856003,73.973335,186.270004,127.898003,24.5,83.974998,70.095001,188.880005,112.639999
93.120003,8.9325,30.025,62.352001,73.949997,187.740005,127.250999,25.41,84.699997,70.646004,192.259995,115.489998
99.019997,9.17375,30.409,66.059998,75.433334,188.940002,128.634003,25.84,85.747498,71.037003,191.759995,117.080002
101.040001,9.0685,31.072001,65.475334,76.23333,193.570007,130.763504,26.65,88.019997,72.323502,192.880005,118.440002
98.690002,9.236,31.344,66.119331,76.41333,194.240005,132.048996,26.879999,87.897499,72.626999,193.559998,117.650002
101.610001,9.218,31.871,66.930664,76.776665,196.320007,132.699005,27.6,87.932503,71.706001,193.910004,118.370003
