MMM, HON, ITW, JNJ, RTX, ADP
TSLA, AAPL, WEC, SO, NEE, GD
XOM, COP, SLB, BRK-B, VLO, ED
WMT, PEP, BRK-B, O, ORLY, FE
MTB, L, PNC, RF, USB, TFC
PANW, FTNT, NOW, DIS, CPAY, MOS
AON, MMC, WTW, AJG, HON, BRO
EBAY, TYL, ABT, WELL, BLK, BALL
SYY, SPG, BA, HST, UPS, EXC
LH, DGX, IQV, UNH, ABT, AMP
BR, JKHY, ACN, PAYX, LNT, MMC
FICO, ED, EFX, V, MSFT, DTE
JBL, TEL, APH, NXPI, CDW, MPWR
GS, JPM, BAC, BRK-B, WFC, MTB
HCA, DGX, SPG, TROW, LH, AWK
LYV, SPG, HON, PNC, HLT, BRK-B
BXP, FRT, AVB, ESS, JPM, KIM
CPT, ESS, PLD, PSA, REG, BR
PNW, LNT, PEG, AEP, SO, O
MTCH, CL, MA, BR, C, SBAC
LRCX, MSFT, ITW, DTE, GOOGL, JNJ
MA, V, MSFT, WRB, MCO, LIN
