AMCR, NOC, L, LYB, PNW, EVRG
DRI, SYY, MCD, YUM, BDX, REG
PPG, SHW, HON, CE, ECL, LIN
LMT, WM, BA, JNJ, APTV, REG
ROL, AJG, PEP, ODFL, REG, PLD
VTR, WELL, DOC, SPG, RJF, EQR
GE, WAB, HON, MMM, CB, RTX
CAG, GIS, K, SJM, HRL, MDLZ
DVA, UHS, BAX, DGX, CAH, SYK
SRE, SO, DTE, NI, EIX, PEG
BLDR, PHM, ED, LEN, WY, POOL
HLT, MAR, LIN, MCO, CCL, REG
WY, O, PLD, CME, IP, AVY
CPB, GIS, CAG, K, SJM, HRL
JKHY, FI, FIS, WELL, ADP, CINF
CDW, APH, MPWR, HPQ, ALLE, AAPL
CL, PEP, CLX, JNJ, ABT, PEG
BALL, CMS, WEC, SPG, VMC, ABT
TER, LRCX, MPWR, TXN, TEL, QCOM
MOS, CF, DTE, BRK-B, CMS, EVRG
RVTY, IQV, HOLX, ABT, TRMB, CMS
WMB, KMI, MRO, EMR, HSY, HOLX
FMC, MOS, APD, DD, ALB, BALL
URI, CAT, VMC, ETN, SO, DOV
IEX, DOV, ITW, ETN, WM, JNJ
WBA, CVS, COR, BEN, IPG, KR
MPWR, LRCX, NVDA, APH, TEL, AIG
MTD, A, WAT, TMO, IEX, RVTY
SLB, COP, AWK, MRO, VLO, CAT
WST, EW, BDX, BXP, RSG, POOL
GD, LMT, NOC, RTX, CB, TXT
ATO, LNT, AEP, SO, PNW, DTE
BBY, HD, TGT, TJX, PHM, GM
LYB, LIN, SO, DOV, CAT, AXP
ADP, VRSK, RSG, PEP, MSFT, VZ
HD, WMT, ORLY, SHW, TJX, POOL
BMY, JNJ, ABBV, LLY, NOC, GILD
AVGO, APH, AAPL, TXN, NXPI, ADI
APD, LIN, WM, LYB, SO, D
HSY, GIS, MDLZ, PEP, MKC, LNT
LIN, ITW, L, BRK-B, MSFT, MCO
MU, LRCX, BAC, HLT, GOOG, None
COO, TFX, ABT, BDX, WAT, HOLX
EVRG, SO, AEP, ES, PNW, CMS
EQT, D, WEC, MCO, FRT, PLD
HIG, TRV, AIG, DTE, UDR, L
PNC, L, BRK-B, ITW, MCO, KIM
HBAN, RF, TFC, PNC, JPM, MCO
INTU, SNPS, ADP, MSFT, ADBE, TYL
TDY, WEC, TDG, SHW, MSCI, LHX
BG, MOS, CB, CMS, SLB, AMP
DLTR, DG, TGT, AVB, CVX, HLT
PNR, DOV, XYL, ITW, SWK, DOC
RTX, LMT, O, DOV, MAR, PSA
CPRT, SNPS, IPG, AME, INTU, HIG
USB, TFC, PNC, HBAN, JPM, KEY
DECK, ED, ORLY, GM, POOL, CMG
